P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
1,goldenrod lavender spring chocolate lace,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG,901,ly. slyly ironi
2,blush thistle blue yellow saddle,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE,902,lar accounts amo
3,spring green yellow purple cornsilk,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903,egular deposits hag
4,cornflower chocolate smoke green pink,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM,904,p furiously r
5,forest brown coral puff cream,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG,905," wake carefully "
6,bisque cornflower lawn forest magenta,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG,906,sual a
7,moccasin green thistle khaki floral,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG,907,lyly. ex
8,misty lace thistle snow royal,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM,908,eposi
9,thistle dim navajo dark gainsboro,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE,909,ironic foxe
10,linen pink saddle puff powder,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN,910,ithely final deposit
11,spring maroon seashell almond orchid,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX,911,ng gr
12,cornflower wheat orange maroon ghost,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE,912," quickly"
13,ghost olive orange rosy thistle,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK,913,osits.
14,khaki seashell rose cornsilk navajo,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX,914,kages c
15,blanched honeydew sky turquoise medium,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE,915,usual ac
16,deep sky turquoise drab peach,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK,916,unts a
17,indian navy coral pink deep,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX,917," regular accounts"
18,turquoise indian lemon lavender misty,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK,918,s cajole slyly a
19,chocolate navy tan deep brown,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX,919," pending acc"
20,ivory navy honeydew sandy midnight,Manufacturer#1,Brand#12,LARGE POLISHED NICKEL,48,MED BAG,920,are across the asympt
21,lemon floral azure frosted lime,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,31,MED BAG,921,ss packages. pendin
22,medium forest blue ghost black,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,19,LG DRUM,922," even p"
23,coral lavender seashell rosy burlywood,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,42,JUMBO JAR,923,"nic, fina"
24,seashell coral metallic midnight floral,Manufacturer#5,Brand#52,MEDIUM PLATED STEEL,20,MED CASE,924," final the"
25,aquamarine steel firebrick light turquoise,Manufacturer#5,Brand#55,STANDARD BRUSHED COPPER,3,JUMBO BAG,925,requests wake
