Date_start,Date_end,zodiac,key
1900-03-19,1900-04-20,Aries,0
1900-04-21,1900-05-20,Taurus,0
1900-05-21,1900-06-20,Gemini,0
1900-06-21,1900-07-22,Cancer,0
1900-07-23,1900-08-22,Leo,0
1900-08-23,1900-09-22,Virgo,0
1900-09-23,1900-10-22,Libra,0
1900-10-23,1900-11-21,Scorpio,0
1900-11-22,1900-12-21,Sagittarius,0
1900-12-22,1900-01-19,Capricorn,0
1900-01-20,1900-02-18,Aquarius,0
1900-02-19,1900-03-20,Pisces,0
1901-03-19,1901-04-20,Aries,0
1901-04-21,1901-05-20,Taurus,0
1901-05-21,1901-06-20,Gemini,0
1901-06-21,1901-07-22,Cancer,0
1901-07-23,1901-08-22,Leo,0
1901-08-23,1901-09-22,Virgo,0
1901-09-23,1901-10-22,Libra,0
1901-10-23,1901-11-21,Scorpio,0
1901-11-22,1901-12-21,Sagittarius,0
1901-12-22,1901-01-19,Capricorn,0
1901-01-20,1901-02-18,Aquarius,0
1901-02-19,1901-03-20,Pisces,0
1902-03-19,1902-04-20,Aries,0
1902-04-21,1902-05-20,Taurus,0
1902-05-21,1902-06-20,Gemini,0
1902-06-21,1902-07-22,Cancer,0
1902-07-23,1902-08-22,Leo,0
1902-08-23,1902-09-22,Virgo,0
1902-09-23,1902-10-22,Libra,0
1902-10-23,1902-11-21,Scorpio,0
1902-11-22,1902-12-21,Sagittarius,0
1902-12-22,1902-01-19,Capricorn,0
1902-01-20,1902-02-18,Aquarius,0
1902-02-19,1902-03-20,Pisces,0
1903-03-19,1903-04-20,Aries,0
1903-04-21,1903-05-20,Taurus,0
1903-05-21,1903-06-20,Gemini,0
1903-06-21,1903-07-22,Cancer,0
1903-07-23,1903-08-22,Leo,0
1903-08-23,1903-09-22,Virgo,0
1903-09-23,1903-10-22,Libra,0
1903-10-23,1903-11-21,Scorpio,0
1903-11-22,1903-12-21,Sagittarius,0
1903-12-22,1903-01-19,Capricorn,0
1903-01-20,1903-02-18,Aquarius,0
1903-02-19,1903-03-20,Pisces,0
1904-03-19,1904-04-20,Aries,0
1904-04-21,1904-05-20,Taurus,0
1904-05-21,1904-06-20,Gemini,0
1904-06-21,1904-07-22,Cancer,0
1904-07-23,1904-08-22,Leo,0
1904-08-23,1904-09-22,Virgo,0
1904-09-23,1904-10-22,Libra,0
1904-10-23,1904-11-21,Scorpio,0
1904-11-22,1904-12-21,Sagittarius,0
1904-12-22,1904-01-19,Capricorn,0
1904-01-20,1904-02-18,Aquarius,0
1904-02-19,1904-03-20,Pisces,0
1905-03-19,1905-04-20,Aries,0
1905-04-21,1905-05-20,Taurus,0
1905-05-21,1905-06-20,Gemini,0
1905-06-21,1905-07-22,Cancer,0
1905-07-23,1905-08-22,Leo,0
1905-08-23,1905-09-22,Virgo,0
1905-09-23,1905-10-22,Libra,0
1905-10-23,1905-11-21,Scorpio,0
1905-11-22,1905-12-21,Sagittarius,0
1905-12-22,1905-01-19,Capricorn,0
1905-01-20,1905-02-18,Aquarius,0
1905-02-19,1905-03-20,Pisces,0
1906-03-19,1906-04-20,Aries,0
1906-04-21,1906-05-20,Taurus,0
1906-05-21,1906-06-20,Gemini,0
1906-06-21,1906-07-22,Cancer,0
1906-07-23,1906-08-22,Leo,0
1906-08-23,1906-09-22,Virgo,0
1906-09-23,1906-10-22,Libra,0
1906-10-23,1906-11-21,Scorpio,0
1906-11-22,1906-12-21,Sagittarius,0
1906-12-22,1906-01-19,Capricorn,0
1906-01-20,1906-02-18,Aquarius,0
1906-02-19,1906-03-20,Pisces,0
1907-03-19,1907-04-20,Aries,0
1907-04-21,1907-05-20,Taurus,0
1907-05-21,1907-06-20,Gemini,0
1907-06-21,1907-07-22,Cancer,0
1907-07-23,1907-08-22,Leo,0
1907-08-23,1907-09-22,Virgo,0
1907-09-23,1907-10-22,Libra,0
1907-10-23,1907-11-21,Scorpio,0
1907-11-22,1907-12-21,Sagittarius,0
1907-12-22,1907-01-19,Capricorn,0
1907-01-20,1907-02-18,Aquarius,0
1907-02-19,1907-03-20,Pisces,0
1908-03-19,1908-04-20,Aries,0
1908-04-21,1908-05-20,Taurus,0
1908-05-21,1908-06-20,Gemini,0
1908-06-21,1908-07-22,Cancer,0
1908-07-23,1908-08-22,Leo,0
1908-08-23,1908-09-22,Virgo,0
1908-09-23,1908-10-22,Libra,0
1908-10-23,1908-11-21,Scorpio,0
1908-11-22,1908-12-21,Sagittarius,0
1908-12-22,1908-01-19,Capricorn,0
1908-01-20,1908-02-18,Aquarius,0
1908-02-19,1908-03-20,Pisces,0
1909-03-19,1909-04-20,Aries,0
1909-04-21,1909-05-20,Taurus,0
1909-05-21,1909-06-20,Gemini,0
1909-06-21,1909-07-22,Cancer,0
1909-07-23,1909-08-22,Leo,0
1909-08-23,1909-09-22,Virgo,0
1909-09-23,1909-10-22,Libra,0
1909-10-23,1909-11-21,Scorpio,0
1909-11-22,1909-12-21,Sagittarius,0
1909-12-22,1909-01-19,Capricorn,0
1909-01-20,1909-02-18,Aquarius,0
1909-02-19,1909-03-20,Pisces,0
1910-03-19,1910-04-20,Aries,0
1910-04-21,1910-05-20,Taurus,0
1910-05-21,1910-06-20,Gemini,0
1910-06-21,1910-07-22,Cancer,0
1910-07-23,1910-08-22,Leo,0
1910-08-23,1910-09-22,Virgo,0
1910-09-23,1910-10-22,Libra,0
1910-10-23,1910-11-21,Scorpio,0
1910-11-22,1910-12-21,Sagittarius,0
1910-12-22,1910-01-19,Capricorn,0
1910-01-20,1910-02-18,Aquarius,0
1910-02-19,1910-03-20,Pisces,0
1911-03-19,1911-04-20,Aries,0
1911-04-21,1911-05-20,Taurus,0
1911-05-21,1911-06-20,Gemini,0
1911-06-21,1911-07-22,Cancer,0
1911-07-23,1911-08-22,Leo,0
1911-08-23,1911-09-22,Virgo,0
1911-09-23,1911-10-22,Libra,0
1911-10-23,1911-11-21,Scorpio,0
1911-11-22,1911-12-21,Sagittarius,0
1911-12-22,1911-01-19,Capricorn,0
1911-01-20,1911-02-18,Aquarius,0
1911-02-19,1911-03-20,Pisces,0
1912-03-19,1912-04-20,Aries,0
1912-04-21,1912-05-20,Taurus,0
1912-05-21,1912-06-20,Gemini,0
1912-06-21,1912-07-22,Cancer,0
1912-07-23,1912-08-22,Leo,0
1912-08-23,1912-09-22,Virgo,0
1912-09-23,1912-10-22,Libra,0
1912-10-23,1912-11-21,Scorpio,0
1912-11-22,1912-12-21,Sagittarius,0
1912-12-22,1912-01-19,Capricorn,0
1912-01-20,1912-02-18,Aquarius,0
1912-02-19,1912-03-20,Pisces,0
1913-03-19,1913-04-20,Aries,0
1913-04-21,1913-05-20,Taurus,0
1913-05-21,1913-06-20,Gemini,0
1913-06-21,1913-07-22,Cancer,0
1913-07-23,1913-08-22,Leo,0
1913-08-23,1913-09-22,Virgo,0
1913-09-23,1913-10-22,Libra,0
1913-10-23,1913-11-21,Scorpio,0
1913-11-22,1913-12-21,Sagittarius,0
1913-12-22,1913-01-19,Capricorn,0
1913-01-20,1913-02-18,Aquarius,0
1913-02-19,1913-03-20,Pisces,0
1914-03-19,1914-04-20,Aries,0
1914-04-21,1914-05-20,Taurus,0
1914-05-21,1914-06-20,Gemini,0
1914-06-21,1914-07-22,Cancer,0
1914-07-23,1914-08-22,Leo,0
1914-08-23,1914-09-22,Virgo,0
1914-09-23,1914-10-22,Libra,0
1914-10-23,1914-11-21,Scorpio,0
1914-11-22,1914-12-21,Sagittarius,0
1914-12-22,1914-01-19,Capricorn,0
1914-01-20,1914-02-18,Aquarius,0
1914-02-19,1914-03-20,Pisces,0
1915-03-19,1915-04-20,Aries,0
1915-04-21,1915-05-20,Taurus,0
1915-05-21,1915-06-20,Gemini,0
1915-06-21,1915-07-22,Cancer,0
1915-07-23,1915-08-22,Leo,0
1915-08-23,1915-09-22,Virgo,0
1915-09-23,1915-10-22,Libra,0
1915-10-23,1915-11-21,Scorpio,0
1915-11-22,1915-12-21,Sagittarius,0
1915-12-22,1915-01-19,Capricorn,0
1915-01-20,1915-02-18,Aquarius,0
1915-02-19,1915-03-20,Pisces,0
1916-03-19,1916-04-20,Aries,0
1916-04-21,1916-05-20,Taurus,0
1916-05-21,1916-06-20,Gemini,0
1916-06-21,1916-07-22,Cancer,0
1916-07-23,1916-08-22,Leo,0
1916-08-23,1916-09-22,Virgo,0
1916-09-23,1916-10-22,Libra,0
1916-10-23,1916-11-21,Scorpio,0
1916-11-22,1916-12-21,Sagittarius,0
1916-12-22,1916-01-19,Capricorn,0
1916-01-20,1916-02-18,Aquarius,0
1916-02-19,1916-03-20,Pisces,0
1917-03-19,1917-04-20,Aries,0
1917-04-21,1917-05-20,Taurus,0
1917-05-21,1917-06-20,Gemini,0
1917-06-21,1917-07-22,Cancer,0
1917-07-23,1917-08-22,Leo,0
1917-08-23,1917-09-22,Virgo,0
1917-09-23,1917-10-22,Libra,0
1917-10-23,1917-11-21,Scorpio,0
1917-11-22,1917-12-21,Sagittarius,0
1917-12-22,1917-01-19,Capricorn,0
1917-01-20,1917-02-18,Aquarius,0
1917-02-19,1917-03-20,Pisces,0
1918-03-19,1918-04-20,Aries,0
1918-04-21,1918-05-20,Taurus,0
1918-05-21,1918-06-20,Gemini,0
1918-06-21,1918-07-22,Cancer,0
1918-07-23,1918-08-22,Leo,0
1918-08-23,1918-09-22,Virgo,0
1918-09-23,1918-10-22,Libra,0
1918-10-23,1918-11-21,Scorpio,0
1918-11-22,1918-12-21,Sagittarius,0
1918-12-22,1918-01-19,Capricorn,0
1918-01-20,1918-02-18,Aquarius,0
1918-02-19,1918-03-20,Pisces,0
1919-03-19,1919-04-20,Aries,0
1919-04-21,1919-05-20,Taurus,0
1919-05-21,1919-06-20,Gemini,0
1919-06-21,1919-07-22,Cancer,0
1919-07-23,1919-08-22,Leo,0
1919-08-23,1919-09-22,Virgo,0
1919-09-23,1919-10-22,Libra,0
1919-10-23,1919-11-21,Scorpio,0
1919-11-22,1919-12-21,Sagittarius,0
1919-12-22,1919-01-19,Capricorn,0
1919-01-20,1919-02-18,Aquarius,0
1919-02-19,1919-03-20,Pisces,0
1920-03-19,1920-04-20,Aries,0
1920-04-21,1920-05-20,Taurus,0
1920-05-21,1920-06-20,Gemini,0
1920-06-21,1920-07-22,Cancer,0
1920-07-23,1920-08-22,Leo,0
1920-08-23,1920-09-22,Virgo,0
1920-09-23,1920-10-22,Libra,0
1920-10-23,1920-11-21,Scorpio,0
1920-11-22,1920-12-21,Sagittarius,0
1920-12-22,1920-01-19,Capricorn,0
1920-01-20,1920-02-18,Aquarius,0
1920-02-19,1920-03-20,Pisces,0
1921-03-19,1921-04-20,Aries,0
1921-04-21,1921-05-20,Taurus,0
1921-05-21,1921-06-20,Gemini,0
1921-06-21,1921-07-22,Cancer,0
1921-07-23,1921-08-22,Leo,0
1921-08-23,1921-09-22,Virgo,0
1921-09-23,1921-10-22,Libra,0
1921-10-23,1921-11-21,Scorpio,0
1921-11-22,1921-12-21,Sagittarius,0
1921-12-22,1921-01-19,Capricorn,0
1921-01-20,1921-02-18,Aquarius,0
1921-02-19,1921-03-20,Pisces,0
1922-03-19,1922-04-20,Aries,0
1922-04-21,1922-05-20,Taurus,0
1922-05-21,1922-06-20,Gemini,0
1922-06-21,1922-07-22,Cancer,0
1922-07-23,1922-08-22,Leo,0
1922-08-23,1922-09-22,Virgo,0
1922-09-23,1922-10-22,Libra,0
1922-10-23,1922-11-21,Scorpio,0
1922-11-22,1922-12-21,Sagittarius,0
1922-12-22,1922-01-19,Capricorn,0
1922-01-20,1922-02-18,Aquarius,0
1922-02-19,1922-03-20,Pisces,0
1923-03-19,1923-04-20,Aries,0
1923-04-21,1923-05-20,Taurus,0
1923-05-21,1923-06-20,Gemini,0
1923-06-21,1923-07-22,Cancer,0
1923-07-23,1923-08-22,Leo,0
1923-08-23,1923-09-22,Virgo,0
1923-09-23,1923-10-22,Libra,0
1923-10-23,1923-11-21,Scorpio,0
1923-11-22,1923-12-21,Sagittarius,0
1923-12-22,1923-01-19,Capricorn,0
1923-01-20,1923-02-18,Aquarius,0
1923-02-19,1923-03-20,Pisces,0
1924-03-19,1924-04-20,Aries,0
1924-04-21,1924-05-20,Taurus,0
1924-05-21,1924-06-20,Gemini,0
1924-06-21,1924-07-22,Cancer,0
1924-07-23,1924-08-22,Leo,0
1924-08-23,1924-09-22,Virgo,0
1924-09-23,1924-10-22,Libra,0
1924-10-23,1924-11-21,Scorpio,0
1924-11-22,1924-12-21,Sagittarius,0
1924-12-22,1924-01-19,Capricorn,0
1924-01-20,1924-02-18,Aquarius,0
1924-02-19,1924-03-20,Pisces,0
1925-03-19,1925-04-20,Aries,0
1925-04-21,1925-05-20,Taurus,0
1925-05-21,1925-06-20,Gemini,0
1925-06-21,1925-07-22,Cancer,0
1925-07-23,1925-08-22,Leo,0
1925-08-23,1925-09-22,Virgo,0
1925-09-23,1925-10-22,Libra,0
1925-10-23,1925-11-21,Scorpio,0
1925-11-22,1925-12-21,Sagittarius,0
1925-12-22,1925-01-19,Capricorn,0
1925-01-20,1925-02-18,Aquarius,0
1925-02-19,1925-03-20,Pisces,0
1926-03-19,1926-04-20,Aries,0
1926-04-21,1926-05-20,Taurus,0
1926-05-21,1926-06-20,Gemini,0
1926-06-21,1926-07-22,Cancer,0
1926-07-23,1926-08-22,Leo,0
1926-08-23,1926-09-22,Virgo,0
1926-09-23,1926-10-22,Libra,0
1926-10-23,1926-11-21,Scorpio,0
1926-11-22,1926-12-21,Sagittarius,0
1926-12-22,1926-01-19,Capricorn,0
1926-01-20,1926-02-18,Aquarius,0
1926-02-19,1926-03-20,Pisces,0
1927-03-19,1927-04-20,Aries,0
1927-04-21,1927-05-20,Taurus,0
1927-05-21,1927-06-20,Gemini,0
1927-06-21,1927-07-22,Cancer,0
1927-07-23,1927-08-22,Leo,0
1927-08-23,1927-09-22,Virgo,0
1927-09-23,1927-10-22,Libra,0
1927-10-23,1927-11-21,Scorpio,0
1927-11-22,1927-12-21,Sagittarius,0
1927-12-22,1927-01-19,Capricorn,0
1927-01-20,1927-02-18,Aquarius,0
1927-02-19,1927-03-20,Pisces,0
1928-03-19,1928-04-20,Aries,0
1928-04-21,1928-05-20,Taurus,0
1928-05-21,1928-06-20,Gemini,0
1928-06-21,1928-07-22,Cancer,0
1928-07-23,1928-08-22,Leo,0
1928-08-23,1928-09-22,Virgo,0
1928-09-23,1928-10-22,Libra,0
1928-10-23,1928-11-21,Scorpio,0
1928-11-22,1928-12-21,Sagittarius,0
1928-12-22,1928-01-19,Capricorn,0
1928-01-20,1928-02-18,Aquarius,0
1928-02-19,1928-03-20,Pisces,0
1929-03-19,1929-04-20,Aries,0
1929-04-21,1929-05-20,Taurus,0
1929-05-21,1929-06-20,Gemini,0
1929-06-21,1929-07-22,Cancer,0
1929-07-23,1929-08-22,Leo,0
1929-08-23,1929-09-22,Virgo,0
1929-09-23,1929-10-22,Libra,0
1929-10-23,1929-11-21,Scorpio,0
1929-11-22,1929-12-21,Sagittarius,0
1929-12-22,1929-01-19,Capricorn,0
1929-01-20,1929-02-18,Aquarius,0
1929-02-19,1929-03-20,Pisces,0
1930-03-19,1930-04-20,Aries,0
1930-04-21,1930-05-20,Taurus,0
1930-05-21,1930-06-20,Gemini,0
1930-06-21,1930-07-22,Cancer,0
1930-07-23,1930-08-22,Leo,0
1930-08-23,1930-09-22,Virgo,0
1930-09-23,1930-10-22,Libra,0
1930-10-23,1930-11-21,Scorpio,0
1930-11-22,1930-12-21,Sagittarius,0
1930-12-22,1930-01-19,Capricorn,0
1930-01-20,1930-02-18,Aquarius,0
1930-02-19,1930-03-20,Pisces,0
1931-03-19,1931-04-20,Aries,0
1931-04-21,1931-05-20,Taurus,0
1931-05-21,1931-06-20,Gemini,0
1931-06-21,1931-07-22,Cancer,0
1931-07-23,1931-08-22,Leo,0
1931-08-23,1931-09-22,Virgo,0
1931-09-23,1931-10-22,Libra,0
